"locus_tag","confidence","p-value","PDB_ID","SCOP_ID"
"Rv0872c","CERT",1E-05,"1io1A0","e.32.1.1"
"Rv0873","CERT",2E-08,"1ivhA2","NULL"
"Rv0874c","LOW",0.01,"1iow00","c.30.1.2"
"Rv0875c","GUESS",0.13,"3fruA1","NULL"
"Rv0876c","LOW",0.021,"1fviA0","b.40.4.6"
"Rv0877","MEDIUM",0.006,"1fohA0","c.3.1.2"
"Rv0878c","LOW",0.029,"1qhoA3","NULL"
"Rv0879c","LOW",0.04,"1cy5A0","a.77.1.3"
"Rv0880","HIGH",0.0004,"1bi000","a.4.5.24"
"Rv0881","HIGH",0.0005,"1ak500","c.1.5.1"
"Rv0882","NULL","NULL","NULL","NULL"
"Rv0883c","LOW",0.066,"1qtmA1","NULL"
"Rv0884c","CERT",8E-09,"1bjnA0","c.67.1.4"
"Rv0885","MEDIUM",0.002,"1f0kA0","c.87.1.2"
"Rv0886","CERT",2E-07,"1gnd00","c.3.1.3"
"Rv0887c","CERT",1E-05,"1mpyA1","NULL"
"Rv0888","CERT",5E-06,"3dni00","d.151.1.1"
"Rv0889c","CERT",2E-09,"1aj8A0","a.103.1.1"
"Rv0890c","CERT",1E-05,"1qqeA0","a.118.8.1"
"Rv0891c","CERT",2E-07,"1fx2A0","d.58.29.1"
"Rv0892","CERT",4E-07,"1vdc00","c.3.1.5"
"Rv0893c","MEDIUM",0.002,"1fp1D2","NULL"
"Rv0894","CERT",2E-06,"1fnnA2","NULL"
"Rv0895","MEDIUM",0.004,"1c3qA0","c.72.1.2"
"Rv0896","CERT",2E-09,"1aj8A0","a.103.1.1"
"Rv0897c","CERT",4E-07,"1gnd00","c.3.1.3"
"Rv0898c","LOW",0.029,"1maz00","f.1.4.1"
"Rv0899","MEDIUM",0.005,"1cwvA0","b.1.14.1"
"Rv0900","GUESS",0.423,"1mucA0","c.1.11.2"
"Rv0901","GUESS",0.633,"1qfqB0","j.9.5.1"
"Rv0902c","CERT",7E-08,"1gkxA0","a.29.5.1"
"Rv0903c","CERT",2E-07,"1a04A0","a.4.6.2"
"Rv0904c","CERT",4E-06,"1ef8A0","c.14.1.3"
"Rv0905","CERT",5E-09,"1ef8A0","c.14.1.3"
"Rv0906","CERT",6E-07,"1a7tA0","d.157.1.1"
"Rv0907","CERT",5E-09,"1gceA0","e.3.1.1"
"Rv0908","CERT",1E-05,"1f5sA0","c.108.1.4"
"Rv0909","GUESS",0.168,"1a04A2","NULL"
"Rv0910","LOW",0.039,"8fabA2","NULL"
"Rv0911","CERT",4E-07,"1mpyA0","d.32.1.3"
"Rv0912","MEDIUM",0.007,"1dtyA0","c.67.1.4"
"Rv0913c","GUESS",0.272,"1bmlC3","NULL"
"Rv0914c","CERT",3E-07,"1qflA1","NULL"
"Rv0915c","MEDIUM",0.009,"1f6fB0","b.1.2.1"
"Rv0916c","LOW",0.042,"1bhu00","b.11.1.3"
"Rv0917","MEDIUM",0.003,"1pymA0","c.1.12.7"
"Rv0918","LOW",0.018,"1qr0A0","d.150.1.1"
"Rv0919","CERT",2E-05,"1qsmA0","d.108.1.1"
"Rv0920c","LOW",0.013,"1eca00","a.1.1.2"
"Rv0921","CERT",6E-05,"2rslA0","c.53.1.1"
"Rv0922","GUESS",0.148,"1mdyA0","a.38.1.1"
"Rv0923c","LOW",0.01,"1aihA0","d.163.1.1"
"Rv0924c","MEDIUM",0.001,"1e39A2","NULL"
"Rv0925c","LOW",0.058,"1dt4A0","d.51.1.1"
"Rv0926c","HIGH",0.0004,"1gcuA1","NULL"
"Rv0927c","CERT",3E-09,"1cydA0","c.2.1.2"
"Rv0928","CERT",1E-08,"1ixh00","c.94.1.1"
"Rv0929","LOW",0.023,"1c0aA2","NULL"
"Rv0930","MEDIUM",0.003,"1d2rB0","c.26.1.1"
"Rv0931c","CERT",7E-08,"1fmk03","NULL"
"Rv0932c","CERT",4E-08,"1ixh00","c.94.1.1"
"Rv0933","CERT",6E-08,"1gajA0","c.37.1.12"
"Rv0934","CERT",3E-09,"1ixh00","c.94.1.1"
"Rv0935","LOW",0.017,"2pgd00","a.100.1.1"
"Rv0936","LOW",0.076,"1a49A0","NULL"
"Rv0937c","CERT",1E-06,"1jeqB0","b.131.1.2"
"Rv0938","CERT",6E-07,"1a0i00","b.40.4.6"
"Rv0939","CERT",6E-08,"1a7tA0","d.157.1.1"
"Rv0940c","CERT",1E-08,"1ezwA0","c.1.16.3"
"Rv0941c","LOW",0.018,"1mla00","c.19.1.1"
"Rv0942","GUESS",0.115,"1bi5A2","NULL"
"Rv0943c","HIGH",0.0002,"1lvl02","NULL"
"Rv0944","CERT",1E-05,"1ee8A0","a.156.1.2"
"Rv0945","CERT",2E-08,"1cydA0","c.2.1.2"
"Rv0946c","CERT",5E-10,"1dqrA0","c.80.1.2"
"Rv0947c","GUESS",0.241,"1j6zA1","NULL"
"Rv0948c","LOW",0.017,"1ecmA0","a.130.1.1"
"Rv0949","HIGH",0.0003,"1a0p02","NULL"
"Rv0950c","MEDIUM",0.001,"1dtyA0","c.67.1.4"
"Rv0951","CERT",6E-10,"2scuB0","c.23.4.1"
"Rv0952","CERT",2E-09,"2scuA0","c.2.1.8"
"Rv0953c","CERT",3E-09,"1lucA0","c.1.16.1"
"Rv0954","HIGH",0.0004,"1a0tP0","f.4.3.2"
"Rv0955","LOW",0.017,"1g97A1","NULL"
"Rv0956","CERT",2E-08,"1fmtA2","NULL"
"Rv0957","CERT",5E-10,"1g8mA0","c.24.1.3"
"Rv0958","CERT",4E-08,"1g8pA0","c.37.1.20"
"Rv0959","HIGH",0.0003,"1lucA0","c.1.16.1"
"Rv0960","LOW",0.03,"1d2zA0","a.77.1.2"
"Rv0961","LOW",0.069,"1f5yA0","NULL"
"Rv0962c","GUESS",0.105,"1mrp00","c.94.1.1"
"Rv0963c","MEDIUM",0.002,"1gca00","c.93.1.1"
"Rv0964c","LOW",0.023,"1cydA0","c.2.1.2"
"Rv0965c","LOW",0.017,"1it2A0","a.1.1.2"
"Rv0966c","LOW",0.049,"1a0p01","NULL"
"Rv0967","GUESS",0.101,"1fvqA0","d.58.17.1"
"Rv0968","MEDIUM",0.007,"1cydA0","c.2.1.2"
"Rv0969","CERT",6E-06,"1f5sA0","c.108.1.4"
"Rv0970","GUESS",0.233,"1fsb00","NULL"
"Rv0971c","CERT",2E-09,"1ef8A0","c.14.1.3"
"Rv0972c","CERT",1E-08,"1ivhA2","NULL"
"Rv0973c","CERT",4E-09,"1bncA0","b.84.2.1"
"Rv0974c","MEDIUM",0.005,"1gca00","c.93.1.1"
"Rv0975c","CERT",7E-09,"1ivhA2","NULL"
"Rv0976c","MEDIUM",0.001,"2tpsA0","c.1.3.1"
"Rv0977","CERT",2E-05,"1io1A0","e.32.1.1"
"Rv0989c","CERT",5E-05,"1e1aA0","b.68.6.1"
"Rv0990c","NULL","NULL","NULL","NULL"
"Rv0991c","CERT",8E-06,"1ijqA1","NULL"
"Rv0981","CERT",1E-07,"1a04A0","a.4.6.2"
"Rv0982","CERT",2E-07,"1gkxA0","a.29.5.1"
"Rv0983","CERT",5E-06,"1qq4A0","b.47.1.1"
"Rv0984","HIGH",0.0003,"1g8lA0","b.85.6.1"
"Rv0985c","MEDIUM",0.001,"1mslA0","f.16.1.1"
"Rv0986","CERT",5E-09,"1gajA0","c.37.1.12"
"Rv0987","HIGH",0.0009,"2reb00","c.37.1.11"
"Rv0988","LOW",0.013,"1f2qA2","NULL"
"Rv0989c","CERT",8E-09,"1uby00","a.128.1.1"
"Rv0990c","MEDIUM",0.003,"1c3qA0","c.72.1.2"
"Rv0991c","GUESS",0.116,"1gcyA1","NULL"
"Rv0992c","MEDIUM",0.007,"1mpyA1","NULL"
"Rv0993","CERT",3E-09,"1g97A2","NULL"
"Rv0994","CERT",5E-10,"1g8lA0","b.85.6.1"
"Rv0995","CERT",3E-05,"1qsmA0","d.108.1.1"
"Rv0996","MEDIUM",0.003,"1drtA0","b.82.2.2"
"Rv0997","GUESS",0.23,"1vmoA0","b.77.1.1"
"Rv0998","CERT",9E-06,"1cx4A2","NULL"
"Rv0999","LOW",0.017,"1c1dA1","NULL"
"Rv1000c","GUESS",0.209,"1ajsA0","c.67.1.1"
"Rv1001","CERT",6E-09,"1jdw00","d.126.1.2"
"Rv1002c","MEDIUM",0.008,"1ush01","NULL"
"Rv1003","CERT",4E-06,"1c3qA0","c.72.1.2"
"Rv1004c","HIGH",0.0005,"1f0xA2","NULL"
"Rv1005c","CERT",2E-09,"1qdlA0","d.161.1.1"
"Rv1006","LOW",0.023,"1gpjA0","a.151.1.1"
"Rv1007c","CERT",4E-10,"1a8h00","a.27.1.1"
"Rv1008","CERT",6E-09,"1pscA0","c.1.9.3"
"Rv1009","MEDIUM",0.003,"1gpjA0","a.151.1.1"
"Rv1010","CERT",1E-05,"1dusA0","c.66.1.4"
"Rv1011","CERT",2E-09,"1fwlB0","NULL"
"Rv1012","GUESS",0.332,"2nmbA0","b.55.1.2"
"Rv1013","CERT",2E-09,"1amuA0","e.23.1.1"
"Rv1014c","CERT",1E-08,"2pth00","c.56.3.1"
"Rv1015c","MEDIUM",0.009,"1bg602","NULL"
"Rv1016c","LOW",0.097,"1psdA1","NULL"
"Rv1017c","CERT",2E-07,"1ecfB0","c.61.1.1"
"Rv1018c","CERT",1E-09,"1fwyA0","b.81.1.4"
"Rv1019","CERT",5E-07,"2tct00","a.4.1.9"
"Rv1020","CERT",1E-08,"1d2mA0","c.37.1.19"
"Rv1021","MEDIUM",0.006,"1c1gB0","NULL"
"Rv1022","HIGH",0.0002,"153l00","d.2.1.5"
"Rv1023","CERT",1E-08,"1mucA0","c.1.11.2"
"Rv1024","LOW",0.054,"1dusA0","c.66.1.4"
"Rv1025","LOW",0.057,"1prtF0","b.40.2.1"
"Rv1026","CERT",4E-06,"1c3qA0","c.72.1.2"
"Rv1027c","CERT",1E-07,"1a04A0","a.4.6.2"
"Rv1028c","CERT",8E-08,"1gkxA0","a.29.5.1"
"Rv1029","MEDIUM",0.004,"1c4hA0","None"
"Rv1030","CERT",3E-05,"1j8dA0","c.108.1.5"
"Rv1031","LOW",0.021,"1pysB6","NULL"
"Rv1032c","CERT",7E-07,"1gkxA0","a.29.5.1"
"Rv1033c","CERT",2E-07,"1a04A0","a.4.6.2"
"Rv1034c","GUESS",0.183,"2reb01","NULL"
"Rv1035c","MEDIUM",0.007,"1e2xA0","a.4.5.6"
"Rv1036c","LOW",0.067,"1a0fA1","NULL"
"Rv1037c","GUESS",0.212,"1mrp00","c.94.1.1"
"Rv1038c","LOW",0.039,"1eerA0","a.26.1.2"
"Rv0139","HIGH",0.0005,"1ihmA0","b.121.4.3"
"Rv0140","GUESS",0.139,"1qhoA1","NULL"
"Rv1041c","LOW",0.013,"2sli02","NULL"
"Rv1042c","LOW",0.019,"1amuA0","e.23.1.1"
"Rv1043c","LOW",0.014,"1fo4A3","NULL"
"Rv1044","MEDIUM",0.005,"1e2xA0","a.4.5.6"
"Rv1045","LOW",0.043,"1a04A2","NULL"
"Rv0146","GUESS",0.301,"1c5cL2","NULL"
"Rv1047","HIGH",0.0002,"2tct00","a.4.1.9"
"Rv1048c","MEDIUM",0.001,"1ak501","NULL"
"Rv1049","CERT",3E-05,"1bi000","a.4.5.24"
"Rv1050","CERT",7E-09,"1cydA0","c.2.1.2"
"Rv1051c","MEDIUM",0.002,"1al300","c.94.1.1"
"Rv1052","LOW",0.084,"1fpoA1","NULL"
"Rv1053c","LOW",0.019,"1fx7A3","NULL"
"Rv0154c","GUESS",0.134,"1xgsA1","NULL"
"Rv0155","GUESS",0.198,"2myo00","d.211.1.1"
"Rv1056","HIGH",0.0003,"1boy00","b.1.2.1"
"Rv1057","CERT",6E-07,"1ijqA0","b.68.5.1"
"Rv1058","CERT",5E-10,"1amuA0","e.23.1.1"
"Rv1059","MEDIUM",0.003,"2uagA1","NULL"
"Rv1060","LOW",0.019,"1c4xA0","c.69.1.10"
"Rv1061","CERT",1E-08,"1ecfA2","NULL"
"Rv1062","HIGH",0.0001,"1gdhA0","c.2.1.4"
"Rv1063c","LOW",0.092,"1ecmA0","a.130.1.1"
"Rv1064c","LOW",0.029,"2mcm00","b.1.7.1"
"Rv1065","LOW",0.044,"1gjuA0","b.71.1.1"
"Rv1066","CERT",1E-05,"1e0cA1","NULL"
"Rv1067c","HIGH",0.0002,"1gkkA0","c.69.1.2"
"Rv1068c","MEDIUM",0.001,"1c3d00","a.102.4.4"
"Rv1069c","HIGH",0.0007,"1c4xA0","c.69.1.10"
"Rv1070c","CERT",1E-09,"1ef8A0","c.14.1.3"
"Rv1071c","CERT",8E-08,"1ef8A0","c.14.1.3"
"Rv1072","MEDIUM",0.002,"1g8pA0","c.37.1.20"
"Rv1073","MEDIUM",0.007,"1qqtA0","a.27.1.1"
"Rv1074c","CERT",6E-09,"1qflA1","NULL"
"Rv1075c","MEDIUM",0.002,"1jxhA0","c.72.1.2"
"Rv1076","CERT",4E-08,"1qfmA2","NULL"
"Rv0177","CERT",4E-08,"2tysB0","NULL"
"Rv1078","LOW",0.076,"1gmmA0","b.18.1.10"
"Rv1079","CERT",1E-08,"1c0nA0","c.67.1.3"
"Rv1080c","LOW",0.036,"1cwvA4","NULL"
"Rv1081c","MEDIUM",0.005,"1qg3A1","NULL"
"Rv1082","LOW",0.019,"1a2oA1","NULL"
"Rv1083","GUESS",0.336,"1maz00","f.1.4.1"
"Rv1084","CERT",4E-05,"1lucA0","c.1.16.1"
"Rv1085c","MEDIUM",0.006,"1a12A0","b.69.5.1"
"Rv1086","MEDIUM",0.001,"1ezwA0","c.1.16.3"
"Rv1087","HIGH",0.0003,"1c0nA0","c.67.1.3"
"Rv1088","GUESS",0.171,"1bia02","NULL"
"Rv1089","MEDIUM",0.006,"1qcxA0","b.80.1.2"
"Rv1090","CERT",4E-07,"2nlrA0","b.29.1.11"
"Rv1091","CERT",9E-06,"1io1A0","e.32.1.1"
"Rv1092c","CERT",4E-07,"1a7j00","c.37.1.6"
"Rv1093","CERT",6E-10,"1bj4A0","c.67.1.4"
"Rv1094","CERT",2E-06,"1mhyD0","a.25.1.2"
"Rv1095","LOW",0.03,"1ihuA1","NULL"
"Rv1096","LOW",0.028,"1mli00","NULL"
"Rv1097c","LOW",0.05,"1f00I1","NULL"
"Rv1098c","CERT",1E-09,"1furA0","a.127.1.1"
"Rv1099c","CERT",2E-05,"2tpsA0","c.1.3.1"
"Rv1100","GUESS",0.215,"1preA1","NULL"
"Rv1101c","MEDIUM",0.009,"1dmlA1","NULL"
"Rv1102c","MEDIUM",0.006,"1d4oA0","c.31.1.4"
"Rv1103c","LOW",0.04,"1c1gB0","NULL"
"Rv1104","CERT",4E-05,"1qfmA2","NULL"
"Rv1105","LOW",0.028,"1fohA5","NULL"
"Rv1106c","CERT",1E-08,"1qrrA0","c.2.1.2"
"Rv1107c","LOW",0.036,"1qe0A1","NULL"
"Rv1108c","HIGH",0.0002,"2tct00","a.4.1.9"
"Rv1109c","GUESS",0.543,"1gd2G0","NULL"
"Rv1110","HIGH",0.0001,"1f6dA0","c.87.1.3"
"Rv1111c","MEDIUM",0.005,"153l00","d.2.1.5"
"Rv1112","CERT",1E-05,"1qpzA0","NULL"
"Rv1113","GUESS",0.205,"1bfd01","NULL"
"Rv1114","LOW",0.044,"1fr3A0","b.40.6.1"
"Rv1115","LOW",0.04,"1fx7A3","NULL"
"Rv1116","GUESS",0.261,"1js6A0","c.67.1.6"
"Rv1117","LOW",0.058,"1gnwA1","NULL"
"Rv1118c","LOW",0.013,"1c4kA2","NULL"
"Rv1119c","GUESS",0.277,"1imuA0","d.204.1.1"
"Rv1120c","CERT",6E-05,"1fx2A0","d.58.29.1"
"Rv1121","CERT",4E-10,"1dpgA0","c.2.1.3"
"Rv1122","CERT",1E-08,"2pgd00","a.100.1.1"
"Rv1123c","CERT",9E-09,"1bn6A0","c.69.1.8"
"Rv1124","CERT",5E-09,"1c4xA0","c.69.1.10"
"Rv1125","MEDIUM",0.003,"1amp00","c.56.5.4"
"Rv1126c","MEDIUM",0.006,"1ii7A0","d.159.1.4"
"Rv1127c","CERT",1E-05,"1gox00","c.1.4.1"
"Rv1128c","LOW",0.097,"1jusE0","a.4.1.9"
"Rv1129c","CERT",9E-05,"1al300","c.94.1.1"
"Rv1130","LOW",0.02,"1fohA5","NULL"
"Rv1131","CERT",3E-09,"1aj8A0","a.103.1.1"
"Rv1132","HIGH",0.0007,"1fp2A2","NULL"
"Rv1133c","HIGH",0.0005,"1qd1A0","d.58.34.1"
"Rv1134","GUESS",0.11,"1gmmA0","b.18.1.10"
"Rv1135c","HIGH",0.0008,"1io1A0","e.32.1.1"
"Rv1136","CERT",4E-05,"1ef8A0","c.14.1.3"
"Rv1137c","LOW",0.07,"1msc00","d.85.1.1"
"Rv1138c","CERT",2E-08,"1fohA0","c.3.1.2"
"Rv1139c","HIGH",0.0009,"1jeoA0","c.80.1.3"
"Rv1140","HIGH",0.0006,"1bjwA0","c.67.1.1"
"Rv1141c","CERT",6E-09,"1ef8A0","c.14.1.3"
"Rv1142c","CERT",3E-09,"1ef8A0","c.14.1.3"
"Rv1143","MEDIUM",0.001,"1bmdA0","c.2.1.5"
"Rv1144","CERT",3E-09,"1cydA0","c.2.1.2"
"Rv1145","MEDIUM",0.002,"1mucA1","NULL"
"Rv1146","MEDIUM",0.002,"1bi5A0","c.95.1.2"
"Rv1147","CERT",1E-06,"1vid00","c.66.1.1"
"Rv1148c","MEDIUM",0.004,"1jusE0","a.4.1.9"
"Rv1149","LOW",0.019,"1amuA0","e.23.1.1"
"Rv1150","LOW",0.057,"1qbjA0","a.4.5.19"
"Rv1151c","CERT",7E-08,"1j8fA0","c.31.1.5"
"Rv1152","CERT",5E-05,"1e2xA0","a.4.5.6"
"Rv1153c","CERT",4E-05,"1vid00","c.66.1.1"
"Rv1154c","LOW",0.045,"1flfA0","None"
"Rv1155","LOW",0.031,"1c3cA0","a.127.1.1"
"Rv1156","CERT",5E-07,"1ebmA1","NULL"
"Rv1157c","LOW",0.047,"1pvdA3","NULL"
"Rv1158c","MEDIUM",0.005,"1f00I0","b.1.14.1"
"Rv1159","MEDIUM",0.005,"1jdiA0","c.74.1.1"
"Rv1160","CERT",6E-05,"1f3yA0","d.113.1.1"
"Rv1161","CERT",2E-09,"2napA2","NULL"
"Rv1162","MEDIUM",0.007,"1a04A2","NULL"
"Rv1163","HIGH",0.0006,"2tct00","a.4.1.9"
"Rv1164","MEDIUM",0.002,"1gky00","c.37.1.1"
"Rv1165","CERT",1E-08,"1efcA0","b.43.3.1"
"Rv1166","CERT",8E-10,"1dpe00","c.94.1.1"
"Rv1167c","CERT",2E-06,"2tct00","a.4.1.9"
"Rv1168c","LOW",0.088,"1bi5A0","c.95.1.2"
"Rv1169c","GUESS",0.2,"1bk5A0","a.118.1.1"
"Rv1170","MEDIUM",0.001,"1amuA0","e.23.1.1"
"Rv1171","LOW",0.078,"1qr4A2","NULL"
"Rv1172c","MEDIUM",0.001,"1ako00","d.151.1.1"
"Rv1173","CERT",3E-05,"1fp1D2","NULL"
"Rv1174c","GUESS",0.179,"1jb0L0","f.31.1.1"
"Rv1175c","CERT",3E-09,"2tmdA0","c.1.4.1"
"Rv1176c","LOW",0.056,"1e2xA0","a.4.5.6"
"Rv1177","HIGH",0.0003,"1a6l00","d.58.1.2"
"Rv1178","CERT",9E-10,"1bjwA0","c.67.1.1"
"Rv1179c","MEDIUM",0.001,"1a1vA1","NULL"
"Rv1180","CERT",4E-07,"1bi5A1","NULL"
"Rv1181","CERT",4E-09,"1mla00","c.19.1.1"
"Rv1182","LOW",0.042,"1a34A0","b.121.7.1"
"Rv1183","HIGH",0.0002,"1c1gB0","NULL"
"Rv1184c","MEDIUM",0.004,"1c4xA0","c.69.1.10"
"Rv1185c","CERT",8E-10,"1amuA0","e.23.1.1"
"Rv1186c","HIGH",0.0004,"1e2xA0","a.4.5.6"
"Rv1187","MEDIUM",0.004,"1iqpA2","NULL"
"Rv1188","CERT",3E-05,"1lucA0","c.1.16.1"
"Rv1189","MEDIUM",0.002,"1fsz02","NULL"
"Rv1190","CERT",3E-09,"1bn6A0","c.69.1.8"
"Rv1191","CERT",2E-08,"1bn6A0","c.69.1.8"
"Rv1192","CERT",1E-06,"1qfmA2","NULL"
"Rv1193","CERT",7E-10,"1amuA0","e.23.1.1"
"Rv1194c","HIGH",0.0005,"1qq5A0","c.108.1.1"
"Rv1195","LOW",0.037,"2mhr00","a.24.4.1"
"Rv1196","GUESS",0.324,"1g9lA0","a.144.1.1"
"Rv1197","LOW",0.059,"1eerA0","a.26.1.2"
"Rv1198","GUESS",0.212,"1mrp00","c.94.1.1"
"Rv1199c","HIGH",0.0002,"2tct00","a.4.1.9"
"Rv1200","CERT",3E-07,"1ja5A0","None"
"Rv1201c","CERT",8E-06,"1lxa00","b.81.1.1"
"Rv1202","CERT",6E-08,"1fnoA0","c.56.5.4"
"Rv1203c","LOW",0.054,"1a81A2","NULL"
"Rv1204c","CERT",1E-05,"1a5t02","NULL"
"Rv1205","CERT",1E-05,"1fwrA0","c.1.10.1"
"Rv1206","CERT",5E-10,"1amuA0","e.23.1.1"
"Rv1207","CERT",1E-09,"1aj200","c.1.21.1"
"Rv1208","HIGH",0.0005,"1c3qA0","c.72.1.2"
"Rv1209","LOW",0.065,"1a36A1","NULL"
"Rv1210","LOW",0.015,"2scpA0","a.39.1.5"
"Rv1211","GUESS",0.142,"1qauA0","b.36.1.1"
"Rv1212c","CERT",3E-09,"1c3jA0","c.87.1.1"
"Rv1213","CERT",5E-09,"1g97A2","NULL"
"Rv1214c","LOW",0.088,"2ilk00","a.26.1.3"
"Rv1215c","CERT",2E-08,"1ju3A0","b.18.1.13"
"Rv1216c","CERT",7E-05,"1dusA0","c.66.1.4"
"Rv1217c","MEDIUM",0.001,"1gci00","c.41.1.1"
"Rv1218c","CERT",2E-07,"1gajA0","c.37.1.12"
"Rv1219c","CERT",6E-07,"2tct00","a.4.1.9"
"Rv1220c","CERT",4E-08,"1vid00","c.66.1.1"
"Rv1221","MEDIUM",0.007,"1dpgA0","c.2.1.3"
"Rv1222","GUESS",0.248,"1gox00","c.1.4.1"
"Rv1223","CERT",1E-05,"1qq4A0","b.47.1.1"
"Rv1224","GUESS",0.163,"1bl0A1","NULL"
"Rv1225c","CERT",6E-07,"1qq5A0","c.108.1.1"
"Rv1226c","HIGH",0.0009,"2tct00","a.4.1.9"
"Rv1227c","MEDIUM",0.008,"2tnfA0","b.22.1.1"
"Rv1228","LOW",0.021,"1cwvA2","NULL"
"Rv1229c","CERT",7E-07,"1ihuA2","NULL"
"Rv1230c","HIGH",0.0002,"1qsaA2","NULL"
"Rv1231c","LOW",0.01,"1qtmA1","NULL"
"Rv1232c","MEDIUM",0.003,"1mjhA0","c.26.2.4"
"Rv1233c","HIGH",0.0002,"1qflA1","NULL"
"Rv1234","LOW",0.013,"1dpgA1","NULL"
"Rv1235","CERT",8E-09,"2thiA0","c.94.1.1"
"Rv1236","LOW",0.081,"1bha00","j.35.1.1"
"Rv1237","MEDIUM",0.005,"1ak500","c.1.5.1"
"Rv1238","CERT",2E-07,"1gajA0","c.37.1.12"
"Rv1239c","MEDIUM",0.006,"1e32A2","NULL"
"Rv1240","CERT",1E-09,"1bmdA0","c.2.1.5"
"Rv1241","LOW",0.037,"1ghhA0","d.57.1.1"
"Rv1242","GUESS",0.189,"1xjo00","c.56.5.4"
"Rv1243c","CERT",1E-05,"1io1A0","e.32.1.1"
"Rv1244","MEDIUM",0.008,"1c3qA0","c.72.1.2"
"Rv1245c","CERT",2E-07,"1gcoA0","c.2.1.2"
"Rv1246c","LOW",0.025,"2mnr01","NULL"
"Rv1247c","MEDIUM",0.008,"1mla02","NULL"
"Rv1248c","CERT",2E-08,"1qs0A1","NULL"
"Rv1249c","MEDIUM",0.001,"1fwrA0","c.1.10.1"
"Rv1250","MEDIUM",0.003,"1xel00","c.2.1.2"
"Rv1251c","HIGH",0.0003,"1ecxA0","c.67.1.3"
"Rv1252c","MEDIUM",0.002,"1air00","b.80.1.1"
"Rv1253","CERT",3E-08,"1gkuB0","c.37.1.16"
"Rv1254","LOW",0.024,"1lst00","c.94.1.1"
"Rv1255c","CERT",4E-06,"1jusE0","a.4.1.9"
"Rv1256c","CERT",1E-09,"1f4tA0","a.104.1.1"
"Rv1257c","CERT",6E-09,"1f0xA0","d.58.32.2"
"Rv1258c","LOW",0.011,"1c0pA1","NULL"
"Rv1259","HIGH",0.0002,"1mugA0","c.18.1.2"
"Rv1260","CERT",2E-07,"1fohA0","c.3.1.2"
"Rv1261c","LOW",0.021,"1gjwA1","NULL"
"Rv1262c","LOW",0.074,"1a6f00","d.14.1.2"
"Rv1263","LOW",0.011,"1bk5A0","a.118.1.1"
"Rv1264","CERT",5E-07,"1fx2A0","d.58.29.1"
"Rv1265","LOW",0.026,"1bmtA2","NULL"
"Rv1266c","CERT",1E-07,"1fmk03","NULL"
"Rv1267c","HIGH",0.0001,"1qu5A0","b.26.1.2"
"Rv1268c","MEDIUM",0.003,"1mfmA0","b.1.8.1"
"Rv1269c","LOW",0.035,"1qrqA0","c.1.7.1"
"Rv1270c","MEDIUM",0.002,"1f00I0","b.1.14.1"
"Rv1271c","LOW",0.054,"1bg8A0","a.57.1.1"
"Rv1272c","CERT",3E-08,"1gajA0","c.37.1.12"
"Rv1273c","CERT",3E-08,"1gajA0","c.37.1.12"
"Rv1274","LOW",0.041,"1boy00","b.1.2.1"
"Rv1275","LOW",0.039,"2hlpA1","NULL"
"Rv1276c","CERT",1E-05,"1bif02","NULL"
"Rv1277","CERT",2E-08,"1ush00","d.114.1.1"
"Rv1278","HIGH",0.0004,"1f2tA0","c.37.1.12"
"Rv1279","CERT",2E-09,"1gpeA1","NULL"
"Rv1280c","CERT",1E-09,"1jevA0","c.94.1.1"
"Rv1281c","CERT",4E-07,"1gajA0","c.37.1.12"
"Rv1282c","HIGH",0.0008,"1aln01","NULL"
"Rv1283c","LOW",0.018,"1al300","c.94.1.1"
"Rv1284","MEDIUM",0.005,"1mpyA1","NULL"
"Rv1285","CERT",2E-06,"2nsyA0","c.26.2.1"
"Rv1286","CERT",2E-09,"1efcA0","b.43.3.1"
"Rv1287","HIGH",0.0003,"1qbjA0","a.4.5.19"
"Rv1288","CERT",2E-07,"1dqyA0","c.69.1.3"
"Rv1289","MEDIUM",0.004,"1ebmA0","a.96.1.3"
"Rv1290c","MEDIUM",0.009,"1qsaA2","NULL"
"Rv1291c","LOW",0.074,"1d2pA4","NULL"
"Rv1292","CERT",2E-09,"1a8h00","a.27.1.1"
"Rv1293","CERT",2E-09,"7odcA0","b.49.2.3"
"Rv1294","CERT",3E-09,"1ebuA0","c.2.1.3"
"Rv1295","CERT",1E-08,"2tysB0","NULL"
"Rv1296","CERT",1E-09,"1fwlB0","NULL"
"Rv1297","CERT",4E-05,"1a6200","a.140.3.1"
"Rv1298","GUESS",0.253,"1gatA0","g.39.1.1"
"Rv1299","MEDIUM",0.001,"1f0xA0","d.58.32.2"
"Rv1300","CERT",1E-06,"1vid00","c.66.1.1"
"Rv1301","HIGH",0.0002,"2pgd02","NULL"
"Rv1302","HIGH",0.0006,"1gof00","b.1.18.2"
"Rv1303","LOW",0.019,"1g9lA0","a.144.1.1"
"Rv1304","MEDIUM",0.003,"1do8A2","NULL"
"Rv1305","LOW",0.064,"1qczA0","c.23.8.1"
"Rv1306","HIGH",0.0004,"1jusE0","a.4.1.9"
"Rv1307","CERT",2E-05,"1ee4A0","NULL"
"Rv1308","CERT",6E-06,"1d2nA0","c.37.1.20"
"Rv1309","CERT",3E-08,"1fs0G0","c.49.2.1"
